Cuisines,Food item,Session consumed,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Nashik Division,Kombdi Vade (Nashik Style),Lunch/Dinner,3 vade 1 katori curry,26.20,43.60,25.30,6.50,81.95,270.00,508.00
Nashik Division,Papdi Bhaji,Breakfast/Lunch/Dinner,1 bowl,5.10,16.30,12.50,11.10,79.59,233.00,197.00
Nashik Division,Batatyacha Kees,Snack,1 bowl ,7.20,36.10,11.60,4.20,40.1,233.00,268.00
Nashik Division,Masale Bhaat,Lunch/Dinner,1 cup,4.30,35.50,6.70,2.20,23.67,206.00,219.00
Nashik Division,Bhadang Bhel,Snack,1 cup,3.20,13.20,9.60,1.30,16.54,31.00,147.00
pune Division,Mastani,Dessert,1 glass,6.50,52.90,30.30,2.30,129.51,250.00,501.00
pune Division,Misal Pav (pune Style),Breakfast/Lunch,2 pav,9.80,57.00,10.80,2.30,50.98,230.00,364.00
pune Division,Bhakarwadi,Snack,1 serve,2.30,16.20,7.70,2.70,-,28.00,143.00
pune Division,Pune's Special Poha,Breakfast,1 cup,3.80,40.10,6.00,1.70,18.93,166.00,228.00
pune Division,Bakar Bhaji,Lunch/Dinner,1 cup,4.50,14.70,13.60,3.60,139.17,250.00,197.00
pune Division,Sabudana Khichdi,Breakfast/Lunch,1 cup,4.00,46.10,7.60,2.50,30.33,166.00,267.00
pune Division,Puran Poli,Dessert,1 poli,3.80,29.00,4.50,2.20,20.16,75.00,172.00
pune Division,Batata Vada,Snack,1 wada,1.80,14.40,9.40,1.40,14.96,80.00,149.00
pune Division,Thalipeeth (pune Style),Breakfast/Lunch/Dinner,1 thalipeeth,4.50,21.30,5.70,4.00,33.06,80.00,151.00
pune Division,Shrewsbury Biscuits,Snack,1 biscuit,0.80,7.10,2.20,0.20,2.96,13.00,51.00
